Xianhe_NOUN _VERB_,2500
XI _._,61657
Xiaotian_NOUN 's_PRT,4137
XXII_NOUN Table,2438
Xiang 's_PRT,10388
Xiyan_NOUN ,,1299
Xue Yu,1401
Xi Er_NOUN,2951
Xander had_VERB,1643
Xiyu _PRT_,1237
Xiaobai_NOUN _._,4055
XX Table,2842
Xuan _ADP_,4342
Xerxes_NOUN ,,2471
Xing_NOUN Bing,2017
XX_NOUN _NOUN_,22760
Xiaozi_NOUN _VERB_,2454
XX_X _._,1693
X. It,1384
Xin immediately,1207
XP_NOUN _NOUN_,2698
Xiaoyan_NOUN _VERB_,1194
X. Zhu,1138
Xavier _._,15500
Xiao Yan_NOUN,8564
XLIV ._.,2392
Xu_NOUN _NUM_,2925
XIX Table_NOUN,3002
X 5d,3356
Xiaoshan_NOUN _VERB_,1027
Xa _NOUN_,3723
XVI_NOUN (_.,2484
Xue Li_NOUN,2957
Xi Yan,1519
X be,9653
XVII_NOUN .,15951
X Corp._NOUN,1191
XXII _NOUN_,8295
Xian_NOUN had_VERB,1676
X2_NOUN Bible,2039
Xing_NOUN Kai_NOUN,1570
Xun_NOUN _NOUN_,6395
X_NOUN 7d_NUM,8628
Xun _._,7073
Xi did_VERB,2992
Xin_NOUN ?_.,1237
Xð Þ,1345
Xinghe_NOUN 's,2539
Xin_NOUN ._.,9849
X._NOUN Then_NOUN,1672
X._NOUN J.,1364
Xiaotian_NOUN said,1271
Xiaochun ,,1019
Xianxian 's,2187
Xue Xi,3509
X._NOUN Ma_NOUN,1181
Xinyue _PRT_,1633
X_NOUN +,8890
Xi could,1813
Xing_NOUN with,1094
Xuan_NOUN !,1243
Xin also_ADV,1036
Xu Chen,1185
X ∪,1911
Xi_NOUN was,10190
Xanthomonas_NOUN _NOUN_,1492
Xuan_NOUN could,2128
X The_DET,1224
Xiaofeng _PRT_,2508
Xu_NOUN L_NOUN,1505
Xia_NOUN Yu_NOUN,8269
Xiaoping _CONJ_,1182
XXX_NOUN .,6381
X._NOUN M.,1084
XI of_ADP,1956
Xue Clan,1217
XLIII_NOUN ._.,2588
Xinran _VERB_,1630
Xun and,1430
Xiang_NOUN _CONJ_,4869
Xiu_NOUN to_PRT,1059
Xiaobao_NOUN _PRT_,1131
XIV_NOUN (_.,2978
XIII CHAPTER_NOUN,1985
Xue_NOUN said,2513
Xia Xue,2687
XV_NOUN _NUM_,1181
XRD_NOUN and,1132
XS_NOUN ,,1697
X. For,1284
XVII_NOUN CHAPTER_NOUN,1566
XLVII _NOUN_,1131
Xiaoxian_NOUN _VERB_,1793
Xi_NOUN 's_PRT,21230
Xun_NOUN _CONJ_,1463
X._NOUN Liu,4538
Xiaotian_NOUN _CONJ_,1100
Xue_NOUN Ji_NOUN,1933
X_NOUN Factor,1229
Xi_NOUN to_PRT,2405
Xi_NOUN did,2992
Xiaoqing_NOUN ,_.,1173
Xuan _CONJ_,7490
XV _._,40619
Xiong et_NOUN,2015
XLIX_NOUN .,1765
X_NOUN XI_NOUN,1255
Xiaofeng _VERB_,6390
X _X_,58378
Xiu_NOUN _ADV_,5484
Xia_NOUN Hou,3962
XXVII_NOUN ,_.,2127
X had,1759
X_NOUN in,10416
XL_NOUN _NOUN_,5091
XII _CONJ_,1742
XLVI_NOUN ._.,2145
Xunzi_NOUN ,_.,1080
Xuan_NOUN laughed,1027
X1978 _DET_,1345
X_NOUN ≤,2171
Xing ._.,7907
XIX_NOUN CHAPTER,1390
Xuan _PRON_,1519
Xie _._,30751
XY_NOUN )_.,1214
X p_NOUN,2597
Xiaosu_NOUN _VERB_,10580
Xiaofeng_NOUN _PRT_,2508
X_NOUN d,2038
XIV _CONJ_,2366
X I,2071
Xiaoxue _VERB_,4650
Xiaoyu_NOUN and,1312
XXIX_NOUN _._,9752
XI -_.,1883
Xerox_NOUN _NOUN_,4540
Xin_NOUN is,1367
Xuan_NOUN to,1970
XIII _NOUN_,20316
Xiaoyan _VERB_,1194
X or_CONJ,4624
XVI -,1934
Xerxes ',1941
Xander_NOUN said,1554
X XI,1256
XII ,_.,14324
Xiong_NOUN was,1294
Xiao_NOUN also,1160
XXVI_NOUN ._.,7231
Xun and_CONJ,1430
Xiao_NOUN Xi,2298
Xiao_NOUN Ling_NOUN,27829
Xue Li,2957
Xiaoxiao .,4330
Xin would_VERB,1743
Xianxian_NOUN _VERB_,9568
XXV_NOUN Table,1923
Xing_VERB _NOUN_,1130
Xi'an Jiaotong_NOUN,1352
Xiao Li,6887
X_NOUN chromosomes_NOUN,2101
Xie_NOUN was_VERB,2289
Xiu_NOUN ,_.,8781
Xiao_NOUN 's,27748
X as,3959
Xiang_NOUN would,1064
XVIII Table,3204
XIII_NOUN ,,11673
Xuan_NOUN Yuan_NOUN,1563
Xiaomi_NOUN _PRT_,1004
XI CHAPTER_NOUN,2306
XLV_NOUN .,2180
Ximen_NOUN Family_NOUN,1169
Xue_NOUN looked_VERB,1717
Xue_NOUN et,2293
Xin would,1743
Xiao Nan_NOUN,4200
XIII of,1056
Xuan_NOUN laughed_VERB,1027
Xue_NOUN Ning_NOUN,2141
Xing was,16784
XVI_NOUN ,_.,11650
Xing_NOUN 's_PRT,18791
Xiaomei ,_.,1481
X1977 _DET_,1368
X_NOUN &,1273
Xiaolan_NOUN _VERB_,3683
XV (,1998
X_NOUN h_NOUN,1217
Xiao_NOUN Yi_NOUN,9884
Xiaoxiao_NOUN could_VERB,1334
Xiao_NOUN Han,4188
Xiaoya _._,1210
Xianxian _VERB_,9569
Xiaotian _ADV_,2236
Xa_NOUN .,1418
Xiaoxiao_NOUN felt,1074
X F_NOUN,1026
Xiao Qiao_NOUN,1306
Xinyi_NOUN _VERB_,1523
XV_NOUN THE_NOUN,1174
X_NOUN or_CONJ,4623
Xiaoli _._,1444
XVI_NOUN ),1813
Xue_NOUN et_NOUN,2280
Xiaohe_NOUN _VERB_,5189
XVIII ),1710
Xiao Ting_NOUN,5540
XIAO _NOUN_,2457
XPS _VERB_,1345
Xavier _NOUN_,17003
Xue_NOUN Xi,3509
X._NOUN Huang,1571
XLIII_NOUN _NOUN_,1184
X )_.,111756
X_X _X_,14868
Xander _PRT_,4909
XT _NOUN_,1974
Xinhua ,,2304
X _DET_,14740
Xi (_.,1194
XXXII ,_.,1393
Xu_NOUN family_NOUN,2033
Xue Yu_NOUN,1401
XYZ ,_.,1005
X_NOUN α,1735
X 14_NUM,2676
Xin laughed_VERB,1555
X4 _._,1177
Xiao_NOUN Yuan_NOUN,1127
Xu to_PRT,1351
X.L. _._,1473
X.Y. ,,1425
Xenopus_NOUN _VERB_,1466
XRD )_.,4277
XLVIII_NOUN ._.,1917
Xander _ADV_,1082
X_X [,4655
X1976 THE_NOUN,1824
Xu Wang,1739
Xlibris_NOUN 1-888-795-4274_NUM,2392
Xing_NOUN ,_.,20953
XLIII .,2661
X_NOUN No,1586
XXXVII .,3527
Xe _NOUN_,1988
X_NOUN e,1540
Xenia_NOUN _._,1598
X_NOUN ~_PRT,1028
X S,1759
X_NOUN *_NOUN,5105
XIII _VERB_,3743
XXXI _NOUN_,3535
Xu 's_PRT,8853
X._NOUN Lu,1220
Xi_NOUN has,1358
Xiongnu_NOUN _._,1001
X. If,1471
Xi Er,2951
X1973_NUM A,1231
X.H. _._,1263
X Factor_NOUN,1230
Xerox_NOUN _VERB_,1234
XY_NOUN _NOUN_,8224
Xenopus _NOUN_,2310
X 3,19270
XXXV_NOUN .,3932
Xiaobai_NOUN was_VERB,1531
Xiao_NOUN Ning,10389
XVI_NOUN -_.,1915
X_NOUN n,18189
Xin _ADP_,6064
Xing_NOUN frowned_VERB,1598
Xiao Liu_NOUN,4276
Xian did_VERB,1025
XXXII_NOUN .,4957
XVI Table,3670
Xia_NOUN Xin,4097
Xander_NOUN _VERB_,19304
X THE,2016
Xiaoyue 's,1308
X_NOUN n_NOUN,4193
X ¯_NOUN,6800
X2_NUM _NUM_,1690
Xi was,10191
Xiyue _PRT_,1507
X ;_.,8131
XI (,3318
Xiao_NOUN family,6985
X_NOUN %,1027
Xiaoxi _VERB_,1030
X ~_.,1856
XI :_.,2694
Xi could_VERB,1813
X._NOUN Zhang,6408
Xin_NOUN was,12360
Xiaolin _VERB_,1619
Xuanji_NOUN _NOUN_,1385
Xing also_ADV,1015
XIV 's_PRT,3253
Xi_NOUN Ling_NOUN,2224
Xiaofeng_NOUN _VERB_,6390
XXX Table_NOUN,1256
XVIII_NOUN ._.,18014
XI and,1862
Xuan Chen_NOUN,2536
X1980 A,1043
Xue_NOUN Xiao,1594
X will,2632
X_NOUN H_NOUN,1292
XIV_NOUN )_.,1480
X._NOUN Table_NOUN,3925
Xiao_NOUN Xin_NOUN,2472
XL .,4069
X k_NOUN,9025
XD ,,1204
Xiao San,1488
X._NOUN "_.,3077
XII_NOUN :,2080
X Corps,1143
Xiao_NOUN Xiao,9211
XVI_NOUN (,2484
Xenophon_NOUN _._,7297
X2 _NUM_,1762
Xiaoya_NOUN _PRT_,1521
XLVI ._.,2194
XXIX ,,1489
Xiaobai ._.,1520
Xiaoping_NOUN and_CONJ,1107
XIV CHAPTER_NOUN,1888
Xu_NOUN is_VERB,1543
Xian 's,5118
Xiao_NOUN had,8287
