YWCA_NOUN _NOUN_,1088
YHWH_NOUN 's,5110
Y.K._NOUN ,_.,1843
YOU_PRON _VERB_,190866
YD ,_.,1360
Yang_NOUN Lin_NOUN,8071
Y_NOUN D_NOUN,2439
Yamaguchi ,_.,6261
Yao_NOUN who_PRON,1067
Y _ADP_,28402
Yao_NOUN suddenly_ADV,1120
Yao Ji_NOUN,17192
Y 2_NUM,8988
Yang has,1185
Y. Chen_NOUN,5527
YK _._,4015
Y.M. _NOUN_,2253
Yang shook,1145
Yan _X_,2256
Y.S._NOUN ,_.,3856
Ye who,1846
Y._NOUN _NOUN_,371280
Year One_NUM,1445
Yan_NOUN immediately_ADV,1195
Yan_NOUN Clan_NOUN,1574
Yamamoto and,1402
Yalom_NOUN ,,1593
Yates ,,14785
YES_X ,_.,3024
Yang Xiu,1427
YF _._,4800
YEAS ALEXANDER_NOUN,1439
Y_NOUN _PRON_,6718
Year Plan_NOUN,16574
Y_NOUN →_NOUN,2050
Yang_NOUN with_ADP,1594
Yea _._,35791
YES NO,2541
Y l_NOUN,1215
Yaacov _NOUN_,1218
YUAN_NOUN _NOUN_,1000
Yanran_NOUN _VERB_,8601
Ye are_VERB,6347
YOLO_NOUN _._,1020
Year --,4987
YS _._,9899
Yang_NOUN M_NOUN,1007
Yan -_.,1852
Yeah_NOUN _CONJ_,2059
Year 9_NUM,1640
Yan in_ADP,2189
Ye_NOUN can,1734
Year_NOUN 3_NUM,4487
Yale ,_.,12579
Ye_NOUN Xuan,6131
Yan took,1787
Yacht_NOUN _NOUN_,7981
YOLO _NOUN_,1002
Yaakov _NOUN_,2024
Year _PRT_,72124
Yahweh_NOUN was_VERB,1475
Yang_NOUN did,5965
Yan Wu,2891
Y_PRON i,5769
Yao looked_VERB,3892
Y m,1492
Yeah_NOUN ...,1786
Year_NOUN 10,1650
Ye Cheng_NOUN,43070
Yan frowned_VERB,1230
Yahweh_NOUN to_PRT,1354
Y. R._NOUN,1792
YOU_PRON SEE,1534
YEARS OLD,1255
Yamagishi_NOUN _._,1054
Ye_NOUN Qian_NOUN,3496
Yahoo _._,3553
Yankees ',2792
YIELD_NOUN _._,7553
Yamada et_NOUN,1365
Yanni_NOUN _VERB_,1433
Ye Ying_NOUN,2785
Yang_NOUN --,1256
YOU _PRON_,5419
YES_NOUN ,_.,1070
Yarmouth ,_.,4210
Ye_NOUN to,2541
Y be_VERB,3980
Yang_NOUN Qi_NOUN,2520
Yang_NOUN -_.,3914
Yang_NOUN is_VERB,3650
Yale_NOUN Journal,3009
Yang could,3841
Yardley _._,2917
YES_ADV ,,1337
Yankees '_PRT,2742
Yahia_NOUN _._,1107
Y_NOUN n_NOUN,1066
Yea_NOUN .,1231
Y2_NOUN _VERB_,1327
Yan_NOUN smiled_VERB,1891
YOU MIGHT_VERB,1359
Y. Zhao,3018
YOU_PRON :_.,1016
Yao_NOUN Yao,6946
Year Old_NOUN,1101
YONHAP_NOUN ]_X,3377
Yanhong _VERB_,5198
Yao_NOUN :_.,2012
Yao_NOUN and,10019
Yasser_NOUN Arafat,2264
Ye do,1464
Yadav_NOUN _NOUN_,8542
Yeah_NOUN ,_.,62915
Yahweh has_VERB,2262
Y_NOUN _NOUN_,253540
Yanhong _._,1358
Y |_.,4022
YELLOW_ADJ _NOUN_,1986
Y.-J. _._,1266
Ya_PRON 's_PRT,9455
Yana_NOUN _VERB_,1898
Y DEAR,3118
Yad Vashem,4883
Y_NOUN oyendo,1684
Y_NOUN ∈_NOUN,2384
Ye nodded,1217
Yakovlev ,,1565
Y.S. ,,3856
YOU _VERB_,190869
Yahudiler'in_NOUN Kralı_NOUN,1008
Yale_NOUN ,,12579
Y.-J._NOUN _._,1266
Yah_NOUN _._,1154
Yang_NOUN :,1008
Ya _CONJ_,3742
Y2K _NOUN_,1036
Yan_NOUN Kai,1855
Y r,1045
Year_NOUN (,6098
YEAR _NUM_,3388
Yard_NOUN ,,10944
Yan_NOUN Clan,1574
Ye !,2461
Y._NOUN Guo,1228
Y. &,3472
Yates 's,1427
Yama_NOUN King_NOUN,2035
Yeah but_CONJ,1971
Yahweh of_ADP,1506
Yea_X ,,13577
YO ,_.,1239
Yao_NOUN took,1043
Yan_NOUN stood_VERB,1137
YUN_NOUN _NUM_,1705
Y. :_.,26813
YZ_NOUN _._,2083
Year_NOUN 1_NUM,7748
Yagi _._,2077
YOU_PRON :,1016
YB ,,1864
Yangtze_NOUN _NOUN_,14896
Y. G._NOUN,1718
Ye Ning,7112
Y.P._NOUN _._,1945
Yang felt_VERB,1898
YL ,_.,3687
Y.-H._NOUN ,_.,1164
Yankees_NOUN were,2065
Yawning_VERB _._,1295
YOU_PRON WERE,2407
Yan_NOUN were,1151
Yanyan _VERB_,2561
Y_NOUN aconteció_X,3469
Year_NOUN Figure,1319
Yang _VERB_,117456
YIELD_NOUN :,7308
Y |,5744
Yeah that,1389
Yan'er_NOUN _VERB_,3647
Yang had_VERB,8905
Yahoo! _._,1715
Ye_NOUN could,2084
Ye_NOUN ?,1964
Yao Qing,1523
Y. _PRON_,3278
Yan_NOUN frowned,1230
YOU_PRON 'RE,6073
Year -,9761
Yasin_NOUN _._,1422
YI_NOUN _._,1559
Yamamoto_NOUN _._,13547
Yan_NOUN Huang,1529
Y. Xu,2092
Yan Lin_NOUN,6279
Yanukovych_NOUN _._,1382
YOU "_.,2699
Yan_ADJ _._,2823
Yan Meng,1141
Y _PRON_,31130
YHWH_NOUN ,_.,3918
Yan_NOUN had,12531
Ya_PRON !,1800
Yang M_NOUN,1007
Y.M. ,,2388
YHWH_NOUN .,2853
Year 8_NUM,1454
Ye_NOUN Er,1119
Y._NOUN &_CONJ,3471
Y._NOUN V._NOUN,1686
Yang Xi_NOUN,8209
Y.J._NOUN _._,3742
YOURSELF_PRON _._,3288
Y.A._NOUN ,,1835
Yanhong 's,1187
Ye is,2765
Yang C_NOUN,1463
Ye_NOUN Er_NOUN,1119
Yang saw_VERB,1121
Yahya_NOUN _NOUN_,3396
Yan_NOUN ..._.,1008
Yan_NOUN and,13772
Yan_NOUN Bei_NOUN,3596
Yao_NOUN '_PRT,3563
Ya_PRON 's,9756
Yang Guang,3254
Yao_NOUN 's,22937
Yang Lin_NOUN,8071
Yao suddenly_ADV,1132
Yard _NUM_,1611
Yao :_.,2053
Y._NOUN Shi_NOUN,1077
Yang_NOUN immediately,1175
Yam_NOUN ,_.,1760
Yawen_NOUN _._,1040
Yadin ,_.,1176
Yeah that_DET,1294
Y t_NOUN,1101
YS_NOUN _._,9865
Yan Li_NOUN,2707
Yates (,1343
Ye will,1910
Y_NOUN N_NOUN,4361
Y_NOUN axis_NOUN,2795
Y_NOUN has_VERB,2113
YM_NOUN ,_.,4816
Y.N._NOUN _._,1381
Yang X_NOUN,2643
Yang H_NOUN,2186
YOUR OWN,4288
Yau_NOUN _._,2528
YMCA_NOUN _NOUN_,3636
Yan (,1275
Y_NOUN et_NOUN,6537
Ya_PRON smiled_VERB,1003
Yan_NOUN did,7827
Yasuda_NOUN _NOUN_,2012
Yagi_NOUN _._,2069
Yahweh_NOUN _._,27964
Y. Y.,3411
Yahudiler'in _X_,1240
YS_NOUN (_.,1007
Yael_NOUN _NOUN_,2266
Yahweh _DET_,1089
Year_NOUN ?_.,1375
YP ,_.,2708
Y.M._NOUN _NOUN_,2253
Yasuda ,,2460
Yang energy,1091
Year_NOUN 9,1607
Yasuda_NOUN ,,2455
Yasmin ,,1373
Yat _._,11048
Y. B.,2029
YJ_NOUN _._,7346
YAG _._,2628
YOUTH :_.,3864
Yan felt_VERB,1935
Yao_NOUN Hai_NOUN,2786
Yamada_NOUN _NOUN_,7100
Y. Yu,1227
Yahya_NOUN _._,2068
Yawen _VERB_,1677
YOU_PRON GO,2151
YS (_.,1007
Yale_NOUN University,130853
Yates _ADP_,1148
Yam _._,2831
Ye Hao_NOUN,7387
Yarrow ,,2063
Y._NOUN Shi,1077
YORK_NOUN CITY,1660
Ye Chen,25659
Y_NOUN ),47687
Yates_NOUN and,1797
Y _DET_,7861
Y. Z._NOUN,1319
Yao_NOUN ?_.,1559
Ye Ying,2786
YEAR OF,1502
Ye_NOUN see_VERB,1083
Ye is_VERB,2765
Y_NOUN Z_NOUN,3340
Y.C._NOUN ,,3467
Yan Mu,1060
Ye_NOUN Ning,7111
Year :,6091
Yad _NOUN_,7099
Y_NOUN C_NOUN,1910
Y is,20340
Ye Ling,1390
Y [,2549
YOU are_VERB,2417
Yao_NOUN Ji_NOUN,17192
Yang_NOUN in,2269
Yadav ,_.,7613
YOUR CHILD_NOUN,1198
Yang_NOUN saw_VERB,1121
Yale and_CONJ,3190
Yang Min_NOUN,1223
Y has,2265
Year_ADJ _NOUN_,31151
Yanyan_NOUN _VERB_,2561
Y. Wu_NOUN,2395
Yang_NOUN thought,1067
Ye_NOUN Na,3308
Yeah you,1318
Ya_PRON -,2294
Yanhui _VERB_,2230
Yale and,3193
Yang S,1688
YOUNG SOCRATES,1323
YORK_NOUN ,,2221
Yao_NOUN nodded_VERB,2955
Year Round_NOUN,1188
Yao_NOUN _PRT_,29243
Ye family,1935
Yan_NOUN said_VERB,9363
YOU_PRON SAY,1055
Yang Fan_NOUN,1128
Ye _PRON_,27371
Yamanaka ,_.,1520
Y. P._NOUN,2628
Y.-H._NOUN _NOUN_,1466
YEAR_NOUN IN_ADP,1350
Ya_PRON could,1229
Yalu_NOUN _NOUN_,1963
YOU RECEIVED_VERB,1238
Yang _._,183559
YES_ADV _ADV_,1298
Year_NOUN 3,4531
YK ,,3064
Y_NOUN _END_,1550
YF_NOUN --,1027
YU _._,1030
Yale_NOUN _NOUN_,186354
Y._NOUN Z._NOUN,1319
Yadav_NOUN and_CONJ,1248
Yates_NOUN (_.,1342
Yang_NOUN _ADJ_,1305
YMCA _ADP_,1756
Yang Xiao_NOUN,20469
Y. E._NOUN,1232
Y._NOUN J._NOUN,5048
Ye_NOUN Zichen_NOUN,17105
Yad_NOUN Vashem_NOUN,4869
YAG laser_NOUN,5348
Ya_PRON smiled,1003
Yang had,8906
Ye _ADJ_,2863
Y_NOUN _DET_,5351
Y. He_PRON,1233
Yang_NOUN Guang_NOUN,3254
Yankees _VERB_,15682
YOUR_PRON _ADJ_,15667
Yard ._.,8081
Yang Xie,10031
Yan walked_VERB,1102
Yan_NOUN Hui_NOUN,1212
YOU_PRON are,2417
Y N,4693
Yang_NOUN Zi_NOUN,1976
Yan Leng,2985
Y p,1304
Yao to_PRT,2672
Yasuda_NOUN _._,2762
Y._NOUN Xu,2092
Yang_NOUN Lin,8071
YOU_PRON GO_VERB,2151
YEAS_NOUN ABRAMSON_NOUN,2224
Yasukuni _NOUN_,1116
Yanfei _VERB_,1676
Ya_PRON to_PRT,1413
Yang_NOUN Xie,10031
Y2 _NOUN_,1956
YHWH _CONJ_,1965
Yan_ADJ -_.,1533
Yan_NOUN Huang_NOUN,1529
Yang_NOUN said,5125
Y.G._NOUN _._,1467
Yang_NOUN ,_.,145759
YOU_PRON _ADJ_,3511
Year_NOUN 12_NUM,1573
Yadav_NOUN _NUM_,1267
Y i_PRON,9772
Yanran_NOUN _ADV_,1399
Yates_NOUN _CONJ_,2529
Yang_NOUN Army_NOUN,1415
YBCO _NOUN_,1566
YW_NOUN ,,2202
YOU_PRON ARE,16266
Yankee _._,8441
Yale_NOUN College_NOUN,2687
Y_NOUN -,51085
Year_NOUN 2_NUM,6268
Y.B._NOUN _._,1482
Ye in_ADP,1259
Yan_NOUN heard,1289
Yeah_X _ADV_,1539
Y aconteció,7059
YN_NOUN ,,1486
Yao is_VERB,1519
Yahoo!_NOUN ,_.,1111
Yan Fu_NOUN,1097
YOU FOR_ADP,1838
Yao _VERB_,93385
Yang did,5966
Y._NOUN Yu,1227
Yan heard,1294
Y_NOUN "_.,3942
Y_NOUN s,1092
Yakov _NOUN_,2048
Y_NOUN or,1773
YOU are,2419
YOU_PRON DO_VERB,8120
Yao who,1067
YOU_PRON HAVE,9023
Y_NOUN on,1419
Yah !_.,1691
Y_NOUN are,6796
YMCA _VERB_,1331
Yang_NOUN _PRON_,2283
YHWH and,1714
Ye_NOUN can_VERB,1734
Yale_NOUN French,1158
Y._NOUN C.,6268
Yang who_PRON,1415
Yan also,1813
Y.W._NOUN ,,1241
Y_NOUN ",3942
Yao_NOUN and_CONJ,10019
Yasmin _PRT_,1013
YARN_NOUN _NOUN_,1065
Yan_NOUN stood,1137
Year 2017_NUM,1118
Yard 's_PRT,1068
Year _ADP_,58341
Yahoo _VERB_,1379
Y_NOUN will,1267
Yang were,1071
Y. Gao_NOUN,1392
Y._NOUN V.,1686
Yeah well,1658
Yard_NOUN 's,1068
YOUR_PRON UNDERSTANDING_NOUN,1586
Yard_NOUN .,8081
Y p_NOUN,1294
Ya know_VERB,2341
YE_NOUN ,,1557
Yangon_NOUN ,,1445
Yasuda _._,2764
YOU_PRON KNOW_VERB,9547
Yahoo _NOUN_,4114
YQ_NOUN ,_.,1385
Yang_NOUN and_CONJ,19439
Yard ,,10948
YOUR TIME,2925
Y_NOUN C,1910
Yah_X _._,6267
Ye_NOUN Xi,1507
Ye did_VERB,4294
Year ;_.,1136
Yeah and_CONJ,1465
Y. _ADV_,2641
Ye_NOUN smiled_VERB,1437
Yahweh_NOUN (_.,2001
Yan_NOUN Wu,2022
YE_NOUN ,_.,1557
Ye '_PRT,3161
Yahweh ,_.,12310
Yank_NOUN _VERB_,1061
YMCA_NOUN ._.,1523
Ye et,2949
YAG_NOUN laser_NOUN,5345
Yao_NOUN _._,56204
Yangzi River,1007
Yan immediately_ADV,1220
Ye and_CONJ,7670
YG _._,2466
Year_ADJ _._,15645
Y →,2137
Ye_NOUN Han_NOUN,9571
YOU SHOULD,3538
Y.F._NOUN _._,1728
Ye_NOUN Chong_NOUN,1526
Yale School_NOUN,2387
Yahweh_NOUN _PRON_,3277
Year_ADJ Plans,1020
Yao_NOUN _ADP_,7121
Y. enterocolitica_NOUN,1017
Y. _VERB_,4345
Yan shook_VERB,1079
Yadav et_NOUN,2598
Yakima_NOUN _._,1010
Yates_NOUN _VERB_,7374
Yan_NOUN Nation,3357
Yahoo! _NOUN_,3605
Yan_NOUN raised,1296
Yan_NOUN asked_VERB,2527
Yaakov_NOUN _NOUN_,2024
Yarrow_NOUN _NOUN_,1464
Yao ?_.,1586
Ye Bai_NOUN,1028
Yang_NOUN '_PRT,4673
Y →_NOUN,2050
Ya_PRON ._.,9743
Yamagata _NOUN_,1486
Yao also_ADV,1113
Ye Wen_NOUN,1953
Year_ADJ _NUM_,1274
Y.Y. ,,2055
Ye_NOUN Ye,1032
Yassin_NOUN _._,1264
YOUR_PRON CHILD_NOUN,1181
Ye Er,1119
Yang took_VERB,1771
Y Acad_NOUN,3884
Y. A._NOUN,3126
YOU '_.,2932
YOU A_DET,1839
Ye_NOUN Fan,1587
Y_NOUN as,1895
YES_ADV ,_.,1337
Year for_ADP,2164
Yang Jin,4088
Yeah and,1465
Yale University_NOUN,130853
Yankee in_ADP,1008
Y._NOUN S._NOUN,9221
Ye and,7671
Ye Ming_NOUN,1276
Y.J. ,,3132
Yale Law_NOUN,11145
Year was,1140
YEAR _._,6593
Y_PRON a_DET,1305
Y._NOUN Xia,1042
YOUNGER _NOUN_,1092
Y.Y._NOUN ,_.,2055
Y.A._NOUN _NOUN_,1065
Yavuz_NOUN _._,1190
Yale Center,1348
YES _NOUN_,8030
Year ",3752
Yang_NOUN Hao,1592
Yankees _PRT_,3542
Ye Mo_NOUN,10883
Ye'll _VERB_,2948
Yale College_NOUN,2687
Ye 's_PRT,20063
Yad_NOUN _NOUN_,7090
Yao et_NOUN,2307
Yakima _._,1010
Ye will_VERB,1905
Year_NOUN Club_NOUN,2728
Yeah _._,906609
Yao_NOUN is,1519
Yanxue_NOUN _VERB_,1315
YEARS_NOUN ,_.,1294
Yann _._,1068
Y.P. ,_.,1540
Yangzhou_NOUN _._,1580
Yan_NOUN Luo,2889
YOU_PRON are_VERB,2417
Ye_NOUN Yang_NOUN,31571
Y. J.,5049
Yale Review,1071
Yeah -,2048
Yamuna_NOUN _NOUN_,2628
Y._NOUN Lee,2051
Ye Yao_NOUN,1870
Year_NOUN 4,2910
Ye ',3468
Yan Yun,15479
Yao Hai_NOUN,2786
YY_NOUN ,_.,4064
Yang smiled,1730
Yao took_VERB,1044
Yan felt,1935
Y_NOUN _PRT_,10634
Y from,1058
Yan'er ,_.,3122
Ye Na,3308
Ye_NOUN ._.,11303
Yankee_NOUN in,1008
Ye_NOUN Yao,1871
Yangtze_NOUN River,11281
YMCA_NOUN .,1523
Yangon_NOUN _NOUN_,1295
Yanko_NOUN _VERB_,2746
YOU _NOUN_,17328
Yaku 1955,6117
YOU DOING,1051
YAG_NOUN laser,5345
Yahweh and_CONJ,3344
Yao ._.,10847
Y._NOUN T._NOUN,2440
YOURSELF_PRON _NOUN_,1175
Yao _X_,1485
Yangzi_NOUN _NOUN_,2123
Yahweh_NOUN of,1506
Yan_NOUN had_VERB,12531
Y_NOUN ~,2793
Yanhong_NOUN _PRT_,1647
Yankee _PRT_,1043
Y chromosome_NOUN,5883
Ye looked_VERB,2933
Y. A,1503
Year Total,1228
Yaner_NOUN was,1622
YA_PRON _._,5056
YOU ...,1127
Yang and_CONJ,19448
Yang_NOUN Z_NOUN,1810
Yamada ,_.,8222
Yaner _VERB_,9630
YOU ",2704
Yayınları _._,2881
Yat_NOUN _._,10972
Yan_NOUN (,1236
Yawen _._,1040
Yakutsk _._,1778
Year 10_NUM,1705
Yang nodded,1637
Yao _PRON_,1303
Y gastric_ADJ,2414
Y._NOUN A_NOUN,1481
Yang said,5125
Yay_X !_.,4574
Y.Y. _NOUN_,1462
YOUR_PRON LIFE,2674
Yat_NOUN --,2176
Yates_NOUN _ADP_,1147
YB_NOUN ,_.,1857
Yano_NOUN _NOUN_,1482
Yagi_NOUN _NOUN_,1376
Yat_NOUN _NOUN_,1316
Yates_NOUN _NOUN_,5332
Y_NOUN in_ADP,4419
YS (,1007
Year 2,6536
Yao Ming,1211
Yang Weiwei_NOUN,1185
Ye_NOUN asked_VERB,1696
Ye Yao,1871
YHWH_NOUN is_VERB,1874
Year 2018_NUM,1107
Ye Xiao,41873
Y.-H._NOUN ,,1164
Yan also_ADV,1813
Y that,1412
Year of,31254
Yeah_X ..._.,12890
YEARS_NOUN OF,2316
Yan_NOUN !_.,2462
Yang asked,1662
Yan !,2624
Yannick_NOUN _NOUN_,1264
Yang_NOUN Jin,4087
YJ_NOUN ,,6116
Y.A. _._,2521
Y _PRT_,11488
Yang_NOUN Xiaodong,1053
YOU DID,1190
Ye_NOUN did_VERB,4294
Y. Ma,1381
Year_ADJ Amt_NOUN,1114
Yan_X ,,15524
Yang_NOUN Ming,2064
Yahoo_NOUN ,,2191
YOU_PRON SHOULD_VERB,3531
Yangzhou _._,1716
Yarn _._,1536
Y. S.,9221
YN ,,1532
Y_NOUN P,1589
Yamazaki ,_.,2467
YORK_NOUN CITY_NOUN,1660
Ye_NOUN _._,62065
YES_NOUN _._,2666
YEARS_NOUN _NOUN_,4286
Year_NOUN 2017_NUM,1098
Y._NOUN N.,2188
YLT ),1012
Yan raised,1297
Y_NOUN O_NOUN,1963
Ye_NOUN Hao_NOUN,7387
Y. Shi_NOUN,1077
Yacht_NOUN Club_NOUN,4402
Yanxi _._,1219
Year :_.,6087
Yadav _NOUN_,8543
Yankees _NOUN_,5667
Y ._.,6497
Yan'er _._,4449
YEARS_NOUN _ADV_,3943
Yankees ,,6367
Ye_PRON see,1030
YE '_PRT,1127
Yanran _VERB_,8616
Year_NOUN ',12427
YORK _NOUN_,10283
YEARS_NOUN .,1190
Y. Tang,1042
Yang_NOUN Yan_NOUN,1798
Yale _ADJ_,1004
Yang_NOUN Weiwei_NOUN,1185
Y.C._NOUN _NOUN_,2221
Yahweh_NOUN will_VERB,1781
Ya_PRON .,9743
Yamuna _NOUN_,2631
Yankees_NOUN _ADP_,5025
Yank _VERB_,1062
Yao_NOUN laughed_VERB,3335
YHWH _PRON_,1001
YOU_PRON MIGHT_VERB,1359
Ye_NOUN said_VERB,5424
Yan_NOUN Fei_NOUN,1276
Yang_NOUN Tian_NOUN,28807
Yan_NOUN Mu_NOUN,1052
Ybarra _._,1648
Y'know ,_.,2108
Y S_NOUN,1932
Yan looked,4904
Ye_NOUN ,_.,38272
Y._NOUN L._NOUN,4279
Y. I._NOUN,1180
Yalu_NOUN River_NOUN,1604
Yan suddenly,1988
Y direction_NOUN,1081
Ya did_VERB,2202
